"phase","gate","status","test_or_command","expected","actual","evidence","commit"
"P00","P00-B01","PASS","pnpm app:check; pnpm --dir apps/textbook-agent/frontend build","0 errors; build ok","svelte-check 0; built ~4m",".tmp/fe-check2.txt; .tmp/fe-build3.txt","pending"
"P00","P00-B02","PASS","pnpm page:test; pnpm --dir packages/lectio-learn test; pnpm app:test","all green incl quiz","page 41; learn 131; app 347","terminals / .tmp/fe-test3.txt","pending"
"P00","P00-B03","PASS","pnpm program:domain-guards + project.md reconcile","0 violations","PASS 0 viol; 6 pytest","domain-guards log","pending"
"P00","P00-B04","PASS","alembic heads + upgrade on lectio_p00_gate_b04","20260907_0040","head+current 20260907_0040","alembic log","pending"
"P00","P00-B05","PASS","CAPABILITY_INVENTORY.json","readiness rows for all shells","10 shells incomplete; content/forms inventoried","docs/unit-native-program/CAPABILITY_INVENTORY.json","pending"
"P01","P01-K01","NOT_RUN","","Exports regenerate reproducibly and include all intended source metadata; deliberately change a source capability and prove generated selection/writer views update.","","",""
"P01","P01-K02","NOT_RUN","","Every supported intent/action ref exists; reverse maps are generated; examples validate against exact schemas.","","",""
"P01","P01-K03","NOT_RUN","","Invalid/duplicate/unknown response IDs and malformed configs fail. Numeric NaN/infinity and negative tolerance rejected.","","",""
"P01","P01-K04","NOT_RUN","","Renderer/evaluator golden examples pass for every activated interaction, including partial scoring and attempt limits where supported.","","",""
"P01","P01-K05","NOT_RUN","","Package-only consumer fixture imports public exports without native source-internal dependencies; incomplete capabilities absent from generation-ready view.","","",""
"P01","P01-K06","NOT_RUN","","Teaching view contains no native inventory/schema; selection view omits full writer payload contracts.","","",""
"P02","P02-S01","NOT_RUN","","Real Unit preparation produces a shared plan with no native forms/components, including serialized provider request sentinel tests.","","",""
"P02","P02-S02","NOT_RUN","","Objective drift, invented source refs and forbidden scope terms are rejected or repaired explicitly; technical identities are code-owned.","","",""
"P02","P02-S03","NOT_RUN","","Zero misconceptions, procedural/conceptual modes and repeated apply slots preserve intended sequence and stable identities.","","",""
"P02","P02-S04","NOT_RUN","","Both native consumers accept the identical approved teaching revision without fixture substitution or semantic role rewriting.","","",""
"P02","P02-S05","NOT_RUN","","Approved item identity is preserved; source incompatible with task action fails rather than silently changing its assessment.","","",""
"P02","P02-S06","NOT_RUN","","A teaching edit creates a new revision; an old approved revision remains readable and identifiable.","","",""
"P03","P03-R01","NOT_RUN","","One lesson creates both outputs; duplicate requests resolve idempotently without extra rows.","","",""
"P03","P03-R02","NOT_RUN","","Print retry/regeneration does not change Learn output/release or shared plan; inverse also proven.","","",""
"P03","P03-R03","NOT_RUN","","Restart and changed default configuration cannot switch a persisted realization's native path.","","",""
"P03","P03-R04","NOT_RUN","","Changing shared revision marks appropriate outputs stale; old output/release snapshots remain intact.","","",""
"P03","P03-R05","NOT_RUN","","Migration upgrades from existing test fixtures; ambiguous legacy data gets explicit read-only status, not guessed provenance.","","",""
"P03","P03-R06","NOT_RUN","","Concurrent realization creation respects uniqueness; status/open routes identify correct native artifact.","","",""
"P04","P04-N01","NOT_RUN","","Compare-without-response selects eligible content without requiring an interaction; reconstruct-order can select Sequence.","","",""
"P04","P04-N02","NOT_RUN","","Out-of-set choice, missing block, duplicate block and altered teaching identity all fail with attributable selection errors.","","",""
"P04","P04-N03","NOT_RUN","","Empty optional interaction set resolves none; empty required capability set reports typed incompatibility and no silent fallback.","","",""
"P04","P04-N04","NOT_RUN","","Writer requests contain only selected payload schema, allowed facts and references; sentinel fields from siblings never leak.","","",""
"P04","P04-N05","NOT_RUN","","Native plan covers every required teaching block and preserves dependencies; unsupported assets prevent premature selection.","","",""
"P04","P04-N06","NOT_RUN","","A native policy change changes eligible choices without editing component definitions or hardcoding new selector branches.","","",""
"P05","P05-P01","NOT_RUN","","Prepared Unit with approved assessment item reaches persisted valid native document without injected replacement plan.","","",""
"P05","P05-P02","NOT_RUN","","Student PDF hides answers; teacher PDF contains accurate answer key; exported content matches the pinned document.","","",""
"P05","P05-P03","NOT_RUN","","Required figure exists in correct position with valid labels; missing asset is a tracked dependency, not a blank successful output.","","",""
"P05","P05-P04","NOT_RUN","","Long prose/table/atomic boundaries render without clipped content or lost rows; inspect page images.","","",""
"P05","P05-P05","NOT_RUN","","Actual application export route finishes; injected export failure returns actionable state without hung worker.","","",""
"P05","P05-P06","NOT_RUN","","Recoverable writer failure and restart preserve completed siblings and converge to the same validated document.","","",""
"P06","P06-L01","NOT_RUN","","Generated lesson contains at least one new interaction through normal selector/writer flow, not a manually injected payload.","","",""
"P06","P06-L02","NOT_RUN","","Repeated same-type blocks and content→activity→content order survive assemble/Builder/reload/render.","","",""
"P06","P06-L03","NOT_RUN","","Builder edit changes task/answer config validly and persists; malformed config or dangling references blocks publish.","","",""
"P06","P06-L04","NOT_RUN","","Preview interactions create zero production attempts/evidence and do not mutate a published release.","","",""
"P06","P06-L05","NOT_RUN","","Publish v1, edit, publish v2: v1 data/hash unchanged; concurrent publishing/idempotency tested.","","",""
"P06","P06-L06","NOT_RUN","","Publishing an old draft after PathLesson revision change never stamps false current provenance; explicit policy enforced.","","",""
"P07","P07-U01","NOT_RUN","","Correct/incorrect/partial response persists, refresh restores state and UI feedback agrees with authoritative evaluation.","","",""
"P07","P07-U02","NOT_RUN","","Forged score/concept bindings and unknown interaction IDs cannot alter evidence; cross-learner/cross-assignment access rejected.","","",""
"P07","P07-U03","NOT_RUN","","Duplicate submission is idempotent; same key/different response conflicts; concurrent attempts cannot exceed policy.","","",""
"P07","P07-U04","NOT_RUN","","Submitted/correct/threshold completion differ as declared; passive sections complete without fake graded attempts.","","",""
"P07","P07-U05","NOT_RUN","","Retries follow first/latest/best policy as configured without accidental score inflation; practice separated from graded evidence.","","",""
"P07","P07-U06","NOT_RUN","","Self-started unrelated instance excluded from assignment analytics; instance remains bound to original immutable release.","","",""
"P08","P08-I01","NOT_RUN","","Unit→Print and Unit→Learn integration run without swapping the prepared plan or bypassing selection.","","",""
"P08","P08-I02","NOT_RUN","","Both outputs preserve objective, approved facts, task meaning and required visual/evidence obligations.","","",""
"P08","P08-I03","NOT_RUN","","Stage input sentinels, scoped repair and stale-lease rejection pass; trace locates failures correctly.","","",""
"P08","P08-I04","NOT_RUN","","Teacher edits survive retries/regeneration policy; one native failure does not block ready sibling output.","","",""
"P08","P08-I05","NOT_RUN","","App build/check, native package gates, domain guards and relevant DB integration suites pass on recorded head.","","",""
"P08","P08-I06","NOT_RUN","","Test evidence explicitly identifies mocks; no live claim derives from deterministic tests.","","",""
"P09","P09-V01","NOT_RUN","","All four case rows have real run IDs, pinned plan hashes, native output IDs, provider/model IDs and timestamps.","","",""
"P09","P09-V02","NOT_RUN","","Each Print output passes semantic review and visual PDF inspection through product export route.","","",""
"P09","P09-V03","NOT_RUN","","Each Learn output is generated, edited/previewed/published and completed through UI with persisted authoritative results.","","",""
"P09","P09-V04","NOT_RUN","","Same-plan fidelity holds across both paths; stage timings/failures/retries documented without invented performance claims.","","",""
"P09","P09-V05","NOT_RUN","","Controlled recovery succeeds without replacing successful blocks; old release survives new draft/release.","","",""
"P09","P09-V06","NOT_RUN","","Final report lists every enabled/deferred interaction and honest PASS/FAIL/BLOCKED decisions with evidence links.","","",""
